mae,smape,rmse,n,skill,series,key,order,last_price,test_var
1.4978553237099266,5.6469000423511675,1.8759272334913157,26,0.18970672075139272,weather_temp,HUB06,"(1, 0, 1)x(1, 1, 0, 52)",,
17.71170617070917,155.8576714052915,34.51478792043766,26,0.005390150240953684,weather_precip,HUB07,"(1, 0, 1)x(1, 1, 0, 52)",,
1.4742253815484432,6.049344733892496,2.014706261775707,26,0.17603945303976876,weather_temp,HUB07,"(1, 0, 1)x(1, 1, 0, 52)",,
15.362970420478018,158.6925410554559,27.79811646621202,26,0.1914226094485253,weather_precip,HUB08,"(1, 0, 1)x(1, 1, 0, 52)",,
2.1342415193632585,7.939039456279954,2.7180437535333972,26,0.1550010009989925,weather_temp,HUB08,"(1, 0, 1)x(1, 1, 0, 52)",,
17.89853267292436,129.0045505864146,27.70824645836257,26,0.2182733924138529,weather_precip,HUB09,"(1, 0, 1)x(1, 1, 0, 52)",,
1.4464775972001418,5.395554372031111,1.8363777799586989,26,0.0007252887059183699,weather_temp,HUB09,"(1, 0, 1)x(1, 1, 0, 52)",,
17.692047868557193,128.95879492941648,25.49696585398267,26,0.2653038738500446,weather_precip,HUB10,"(1, 0, 1)x(1, 1, 0, 52)",,
1.132565103403058,4.053822948493941,1.5890978227516759,26,0.037240313781612966,weather_temp,HUB10,"(1, 0, 1)x(1, 1, 0, 52)",,
34.67238405747794,79.98326736706596,52.48026995678027,26,0.3731001491693835,weather_precip,HUB11,"(1, 0, 1)x(1, 1, 0, 52)",,
1.221402090085266,3.9839062725689227,1.4663082529132683,26,-0.08111460028622086,weather_temp,HUB11,"(1, 0, 1)x(1, 1, 0, 52)",,
21.228560465438377,80.83503146122696,31.98419896865609,26,0.23995790126494387,weather_precip,HUB12,"(1, 0, 1)x(1, 1, 0, 52)",,
1.2081297926601475,4.0640371852453425,1.4732009198233678,26,0.07736363830695725,weather_temp,HUB12,"(1, 0, 1)x(1, 1, 0, 52)",,
11.272340132743057,89.76032005801795,17.517864537067187,26,0.2628751422250516,weather_precip,HUB13,"(1, 0, 1)x(1, 1, 0, 52)",,
1.4129399703512153,5.179614637802251,1.6770672473788035,26,-0.16605989088839723,weather_temp,HUB13,"(1, 0, 1)x(1, 1, 0, 52)",,
15.005679984345708,114.48399297739668,23.904174995401927,26,0.09896609793767108,weather_precip,HUB14,"(1, 0, 1)x(1, 1, 0, 52)",,
1.06957878817108,3.7122917765901056,1.3369400149456845,26,0.056254010437282065,weather_temp,HUB14,"(1, 0, 1)x(1, 1, 0, 52)",,
17.047032196646516,150.31343764612967,23.831649836828735,26,-0.16976204041385423,weather_precip,HUB15,"(1, 0, 1)x(1, 1, 0, 52)",,
1.1445801882969975,3.8279828736371604,1.359015034364457,26,0.0775100999185756,weather_temp,HUB15,"(1, 0, 1)x(1, 1, 0, 52)",,
21.68154560672298,170.573273547567,31.415499282159306,26,-0.5910815291413984,weather_precip,HUB16,"(1, 0, 1)x(1, 1, 0, 52)",,
1.4797170745176291,5.250082510933517,1.937163381658039,26,0.07528267976808323,weather_temp,HUB16,"(1, 0, 1)x(1, 1, 0, 52)",,
30.70202844561606,115.41604802517809,45.502424054267564,26,0.13271106085830353,weather_precip,HUB17,"(1, 0, 1)x(1, 1, 0, 52)",,
0.8229145326117451,2.7238937573186335,1.0493091286079368,26,0.24326512032671577,weather_temp,HUB17,"(1, 0, 1)x(1, 1, 0, 52)",,
49.33579028837876,175.01677739056342,68.6563527128378,26,-0.8501810868279933,weather_precip,HUB18,"(1, 0, 1)x(1, 1, 0, 52)",,
1.561574127958606,4.961057811727762,2.040354154530128,26,0.039842934836262445,weather_temp,HUB18,"(1, 0, 1)x(1, 1, 0, 52)",,
